X,Y,OBJECTID,Name,Descr,TimeWhen,Extrude,AltMode,Symbology,Labeling,Class
-87.09069,31.16,21,Feb-00,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4743: Nighttime sighting by two teens in southern Conecuh County</b><br></br><a href=""http://www.bfro.net/gdb/class",2/10/00 12:00,1,RelativeToGround, , ,A
-88.14999,33.13,22,Jun-58,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville</b><br></br><a href=""http://www.bfro.net/gdb/c",9/1/07 12:00,1,RelativeToGround, , ,A
-87.35664,33.21145,23,Aug-03,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 6938: Tracks and feces found in freshly turned field</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#clas",8/30/03 12:00,1,RelativeToGround, , ,A
-87.31821,33.26035,24,Jun-03,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7031: Lady sees large hairy creature on the side of the road</b><br></br><a href=""http://www.bfro.net/gdb/classify.",6/28/03 12:00,1,RelativeToGround, , ,A
-86.52105,34.7325,25,1949,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7235: Recollection of an afternoon sighting on Green Mountain</b><br></br><a href=""http://www.bfro.net/gdb/classify",5/28/04 12:00,1,RelativeToGround, , ,A
-85.4258,32.6218,26,Jan-00,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7427: Four youths have harrowing experience in Alabama backwoods. </b><br></br><a href=""http://www.bfro.net/gdb/cla",11/26/03 12:00,1,RelativeToGround, , ,A
-86.64066,33.3674,27,Mar-04,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 8171: Nighttime Sighting on County Road</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">C",5/9/04 12:00,1,RelativeToGround, , ,A
-86.4664,33.6205,28,Oct-86,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 8679: Adult recalls childhood sighting at dusk near Moody</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp",9/30/04 12:00,1,RelativeToGround, , ,A
-86.7891,33.8132,29,Sep-79,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 10498: Hiker has daylight sighting near Warrior.</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classifi",9/15/79 12:00,1,RelativeToGround, , ,A
-87.24547,32.30673,30,Jul-85,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 14082: Daylight road crossing sighting near Orrville</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#clas",9/10/06 12:00,1,RelativeToGround, , ,A
-86.99782,31.00002,31,December 2002;2006,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border</b><br></br><a href=""http://www.bfro.net/g",7/6/06 12:00,1,RelativeToGround, , ,A
-85.705,32.43,32,Jan-07,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest</b><br></br><a href=""http://www.bfro.",5/19/07 12:00,1,RelativeToGround, , ,A
-85.625,33.35,33,Jun-05,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 17480: Sighting by a group of campers in Cheaha Mountain State Park</b><br></br><a href=""http://www.bfro.net/gdb/cl",4/22/07 12:00,1,RelativeToGround, , ,A
-86.17524,34.27607,34,1992,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 18043: Evening sighting by family driving by Guntersville Lake</b><br></br><a href=""http://www.bfro.net/gdb/classif",8/15/92 12:00,1,RelativeToGround, , ,A
-86.5,33.59,35,Jul-07,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 22539: Roadside Sighting near Moody</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Class",7/18/07 12:00,1,RelativeToGround, , ,A
-86.581,32.184,36,Apr-01,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 24646: Early morning sighting by a fisherman south of Montgomery</b><br></br><a href=""http://www.bfro.net/gdb/class",4/13/01 12:00,1,RelativeToGround, , ,A
-86.17122,33.36305,37,1999,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest</b><br></br><a href=""h",11/23/99 12:00,1,RelativeToGround, , ,A
-86.6575,34.71139,38,Feb-09,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville</b><br></br><a href=""http://www.bfr",2/24/09 12:00,1,RelativeToGround, , ,A
-87.91833,30.7113,39,Sep-79,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile</b><br></br><a href=""http://www.bfro.net/gdb",9/14/79 12:00,1,RelativeToGround, , ,A
-86.4891,32.76967,40,May-00,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 26886: Daylight sighting while riding ATV on his private property outside Verbena</b><br></br><a href=""http://www.b",5/13/00 12:00,1,RelativeToGround, , ,A
-85.35995,31.86801,41,Jan-80,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton</b><br></b",1/12/80 12:00,1,RelativeToGround, , ,A
-87.53395,33.8957,42,Mar-10,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27459: Motorist sights dirty-white upright creature near the town of Kansas</b><br></br><a href=""http://www.bfro.ne",3/12/10 12:00,1,RelativeToGround, , ,A
-87.53395,33.8957,43,1990,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas</b><br></br><a href=""http://ww",5/15/90 12:00,1,RelativeToGround, , ,A
-87.77686,34.70112,44,Jan-05,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals</b><br></br><a href=""http://www.bfro.net/gdb/classify.a",1/12/05 12:00,1,RelativeToGround, , ,A
-87.06486,31.13586,45,1983,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton</b><br></br><a href=""http://www.bf",10/14/83 12:00,1,RelativeToGround, , ,A
-86.54527,31.34781,46,Oct-78,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia</b><br></br><a href=""http://w",10/10/78 12:00,1,RelativeToGround, , ,A
-88.12475,33.41574,47,May-12,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 35475: Daylight road crossing near Vernon</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification""",5/21/12 12:00,1,RelativeToGround, , ,A
-88.26291,31.25385,48,Feb-08,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale</b><br></br><a href=""http://ww",2/15/08 12:00,1,RelativeToGround, , ,A
-85.48985,33.82162,49,Nov-12,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 37094: Multiple sightings close to Lookout Mountain near Gadsden</b><br></br><a href=""http://www.bfro.net/gdb/class",11/1/12 12:00,1,RelativeToGround, , ,A
-86.5045,34.32279,50,Aug-12,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove</b><br></br><a href=""http://www.bfro.net/",8/15/12 12:00,1,RelativeToGround, , ,A
-86.56954,34.47091,51,Mar-13,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 40417: Nighttime encounters close to home near Morgan</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#cla",3/16/13 12:00,1,RelativeToGround, , ,A
-86.88621,34.29511,52,Jan-13,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line</b><br></br><a href=""http:/",1/23/13 12:00,1,RelativeToGround, , ,A
-86.37698,32.48322,53,Oct-13,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton</b><br></br><a href=""http://www.b",10/15/13 12:00,1,RelativeToGround, , ,A
-86.98473,33.55153,54,Oct-13,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham</b><br></br><a h",10/2/13 12:00,1,RelativeToGround, , ,A
-85.9793,32.91874,55,1967,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 44487: Memory told of a close dalylight observation outside Alexander City</b><br></br><a href=""http://www.bfro.net",3/30/14 12:00,1,RelativeToGround, , ,A
-87.6942,33.37095,56,Apr-14,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img>(New)<b>
          Report 44849: Sightings at night in the same area off Bone Camp Road near Northport</b><br></br><a href=""http://www.b",12/27/14 12:00,1,RelativeToGround, , ,A
-85.19265,31.651,57,1953,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville</b><br></br><",12/31/14 12:00,1,RelativeToGround, , ,A
-86.96416,34.00806,58,Jun-14,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen</b><br></br><a href=""http://www.bfro.net/gdb",6/9/14 12:00,1,RelativeToGround, , ,A
-85.22781,34.14117,59,Jun-14,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff</b><br></br><a href=""http://www.bfro.net/gdb/",6/17/14 12:00,1,RelativeToGround, , ,A
-85.21574,31.23374,60,Sep-14,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 46746: Nighttime sighting by a motorist west of Newville</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#",9/17/14 12:00,1,RelativeToGround, , ,A
-85.7944,31.53475,61,Jan-13,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img>(New)<b>
          Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton</b><br></br><a h",1/28/13 12:00,1,RelativeToGround, , ,A
-92.34083,34.55056,62,1998,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 186: Two boys are chased by sasquatch</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Cla",8/11/01 12:00,1,RelativeToGround, , ,A
-92.38222,36.19444,63,1972,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1636: Teenager has sighting near Ozark National Forest</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#cl",11/5/72 12:00,1,RelativeToGround, , ,A
-92.385,36.33528,64,May-95,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1637: Backyard sighting near Mountain Home. </b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classificati",5/15/95 12:00,1,RelativeToGround, , ,A
-93,34.08,65,Oct-96,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1640: Nightime sighting by motorists on Hwy 7 North</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",10/15/96 12:00,1,RelativeToGround, , ,A
-93.1,34.25,66,Oct-98,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1641: From top of hill, hunter observes bipedal creature following a fence row</b><br></br><a href=""http://www.bfro",10/29/98 12:00,1,RelativeToGround, , ,A
-94.3643,33.76986,67,Aug-69,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1944: Family has multiple encounters with white bigfoot creature</b><br></br><a href=""http://www.bfro.net/gdb/class",8/16/69 12:00,1,RelativeToGround, , ,A
-91.735,34.787,68,Oct-43,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2494: Bus driver encounters ape like creature during an unscheduled stop</b><br></br><a href=""http://www.bfro.net/g",8/11/01 12:00,1,RelativeToGround, , ,A
-90.51056,36.12083,69,Jan-88,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2774: Large bipedal animal observes couple parking behind school gymnasium</b><br></br><a href=""http://www.bfro.net",1/10/88 12:00,1,RelativeToGround, , ,A
-92.03389,33.82111,70,Jul-01,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison</b><br></br><a href=""http:",7/29/01 12:00,1,RelativeToGround, , ,A
-93.83426,35.9975,71,Jun-70,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road</b><br></br><a href=""htt",6/15/70 12:00,1,RelativeToGround, , ,A
-93.15208,35.42097,72,Nov-98,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3226: Man finds 3-toed prints <![CDATA[&]]> wife has sighting</b><br></br><a href=""http://www.bfro.net/gdb/classify",11/15/98 12:00,1,RelativeToGround, , ,A
-93.20389,33.88861,73,Apr-84,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks</b><br></br><a href=""http://www.bf",4/17/84 12:00,1,RelativeToGround, , ,A
-93.886,33.26666,74,Jan-00,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4090: Sighting in wheat field near Fouke</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">",1/15/00 12:00,1,RelativeToGround, , ,A
-91.1125,36.19791,75,1977,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4093: Daytime sighting between Pocahontas and Imboden</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#cla",9/25/77 12:00,1,RelativeToGround, , ,A
-92.58667,34.56444,76,Oct-94,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4094: Late night encounter near Benton</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Cl",10/15/94 12:00,1,RelativeToGround, , ,A
-91.87,36.37111,77,Mar-97,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5228: Motorist has nighttime sighting of bipedal animal at roadside</b><br></br><a href=""http://www.bfro.net/gdb/cl",3/14/97 12:00,1,RelativeToGround, , ,A
-94.23417,36.20611,78,Oct-02,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5316: Daytime sighting by hiker near Spring Creek. </b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",10/10/02 12:00,1,RelativeToGround, , ,A
-94.45417,34.70694,79,1998,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway</b><br></br><a href=""http://www",7/7/98 12:00,1,RelativeToGround, , ,A
-94.44694,36.18333,80,Oct-81,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below </b><br></br><a href=""http://www.bfro.net",4/4/04 12:00,1,RelativeToGround, , ,A
-91.45889,35.64861,81,Nov-99,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 6932: Duck hunter observes apelike creature across White River</b><br></br><a href=""http://www.bfro.net/gdb/classif",11/15/99 12:00,1,RelativeToGround, , ,A
-93.94583,36.34167,82,1994,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree</b><br></br><a href=""http://www.bfro.net/gdb/cla",10/31/03 12:00,1,RelativeToGround, , ,A
-91.08056,34.88111,83,1961,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7234: Daylight sighting by two sisters near their farm in the early 1960s</b><br></br><a href=""http://www.bfro.net/",10/15/61 12:00,1,RelativeToGround, , ,A
