Year,Country,Species,Region,Catch (Tons)
1988,United Kingdom,Atlantic cod,"Atlantic, Northeast",91432
1989,United Kingdom,Atlantic cod,"Atlantic, Northeast",77365
1990,United Kingdom,Atlantic cod,"Atlantic, Northeast",70004
1991,United Kingdom,Atlantic cod,"Atlantic, Northeast",67117
1992,United Kingdom,Atlantic cod,"Atlantic, Northeast",65207
1993,United Kingdom,Atlantic cod,"Atlantic, Northeast",67289
1994,United Kingdom,Atlantic cod,"Atlantic, Northeast",68855
1995,United Kingdom,Atlantic cod,"Atlantic, Northeast",78650
1996,United Kingdom,Atlantic cod,"Atlantic, Northeast",78235
1997,United Kingdom,Atlantic cod,"Atlantic, Northeast",74614
1998,United Kingdom,Atlantic cod,"Atlantic, Northeast",77182
1999,United Kingdom,Atlantic cod,"Atlantic, Northeast",51695
2000,United Kingdom,Atlantic cod,"Atlantic, Northeast",41750
2001,United Kingdom,Atlantic cod,"Atlantic, Northeast",32840
2002,United Kingdom,Atlantic cod,"Atlantic, Northeast",31548
2003,United Kingdom,Atlantic cod,"Atlantic, Northeast",21543
2004,United Kingdom,Atlantic cod,"Atlantic, Northeast",21210
2005,United Kingdom,Atlantic cod,"Atlantic, Northeast",20001
2006,United Kingdom,Atlantic cod,"Atlantic, Northeast",20841
2007,United Kingdom,Atlantic cod,"Atlantic, Northeast",19332
2008,United Kingdom,Atlantic cod,"Atlantic, Northeast",19040
2009,United Kingdom,Atlantic cod,"Atlantic, Northeast",21920
2010,United Kingdom,Atlantic cod,"Atlantic, Northeast",24992
2011,United Kingdom,Atlantic cod,"Atlantic, Northeast",22105
2012,United Kingdom,Atlantic cod,"Atlantic, Northeast",25479
2013,United Kingdom,Atlantic cod,"Atlantic, Northeast",28134
2014,United Kingdom,Atlantic cod,"Atlantic, Northeast",30608
2015,United Kingdom,Atlantic cod,"Atlantic, Northeast",28784
2016,United Kingdom,Atlantic cod,"Atlantic, Northeast",31798
2017,United Kingdom,Atlantic cod,"Atlantic, Northeast",37698
2018,United Kingdom,Atlantic cod,"Atlantic, Northeast",34680
2019,United Kingdom,Atlantic cod,"Atlantic, Northeast",28750
1950,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1951,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1952,United Kingdom,Atlantic cod,"Atlantic, Northwest",57300
1953,United Kingdom,Atlantic cod,"Atlantic, Northwest",33700
1954,United Kingdom,Atlantic cod,"Atlantic, Northwest",18900
1955,United Kingdom,Atlantic cod,"Atlantic, Northwest",6200
1956,United Kingdom,Atlantic cod,"Atlantic, Northwest",3000
1957,United Kingdom,Atlantic cod,"Atlantic, Northwest",11800
1958,United Kingdom,Atlantic cod,"Atlantic, Northwest",10800
1959,United Kingdom,Atlantic cod,"Atlantic, Northwest",16200
1960,United Kingdom,Atlantic cod,"Atlantic, Northwest",21665
1961,United Kingdom,Atlantic cod,"Atlantic, Northwest",17530
1962,United Kingdom,Atlantic cod,"Atlantic, Northwest",25014
1963,United Kingdom,Atlantic cod,"Atlantic, Northwest",39516
1964,United Kingdom,Atlantic cod,"Atlantic, Northwest",46451
1965,United Kingdom,Atlantic cod,"Atlantic, Northwest",52167
1966,United Kingdom,Atlantic cod,"Atlantic, Northwest",55388
1967,United Kingdom,Atlantic cod,"Atlantic, Northwest",76865
1968,United Kingdom,Atlantic cod,"Atlantic, Northwest",46238
1969,United Kingdom,Atlantic cod,"Atlantic, Northwest",5485
1970,United Kingdom,Atlantic cod,"Atlantic, Northwest",6456
1971,United Kingdom,Atlantic cod,"Atlantic, Northwest",7066
1972,United Kingdom,Atlantic cod,"Atlantic, Northwest",13295
1973,United Kingdom,Atlantic cod,"Atlantic, Northwest",5526
1974,United Kingdom,Atlantic cod,"Atlantic, Northwest",5591
1975,United Kingdom,Atlantic cod,"Atlantic, Northwest",899
1976,United Kingdom,Atlantic cod,"Atlantic, Northwest",371
1977,United Kingdom,Atlantic cod,"Atlantic, Northwest",2913
1978,United Kingdom,Atlantic cod,"Atlantic, Northwest",677
1979,United Kingdom,Atlantic cod,"Atlantic, Northwest",638
1980,United Kingdom,Atlantic cod,"Atlantic, Northwest",658
1981,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1982,United Kingdom,Atlantic cod,"Atlantic, Northwest",912
1983,United Kingdom,Atlantic cod,"Atlantic, Northwest",1174
1984,United Kingdom,Atlantic cod,"Atlantic, Northwest",765
1985,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1986,United Kingdom,Atlantic cod,"Atlantic, Northwest",821
1987,United Kingdom,Atlantic cod,"Atlantic, Northwest",822
1988,United Kingdom,Atlantic cod,"Atlantic, Northwest",927
1989,United Kingdom,Atlantic cod,"Atlantic, Northwest",3865
1990,United Kingdom,Atlantic cod,"Atlantic, Northwest",1633
1991,United Kingdom,Atlantic cod,"Atlantic, Northwest",50
1992,United Kingdom,Atlantic cod,"Atlantic, Northwest",79
1993,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1994,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1995,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1996,United Kingdom,Atlantic cod,"Atlantic, Northwest",129
1997,United Kingdom,Atlantic cod,"Atlantic, Northwest",23
1998,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1999,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2000,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2001,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2002,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2003,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2004,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2005,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2006,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2007,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2008,United Kingdom,Atlantic cod,"Atlantic, Northwest",296
2009,United Kingdom,Atlantic cod,"Atlantic, Northwest",595
2010,United Kingdom,Atlantic cod,"Atlantic, Northwest",761
2011,United Kingdom,Atlantic cod,"Atlantic, Northwest",1081
2012,United Kingdom,Atlantic cod,"Atlantic, Northwest",970
2013,United Kingdom,Atlantic cod,"Atlantic, Northwest",1334
2014,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2015,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2016,United Kingdom,Atlantic cod,"Atlantic, Northwest",1198
2017,United Kingdom,Atlantic cod,"Atlantic, Northwest",1148
2018,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
2019,United Kingdom,Atlantic cod,"Atlantic, Northwest",0
1950,United Kingdom,Atlantic halibut,"Atlantic, Northeast",7900
1951,United Kingdom,Atlantic halibut,"Atlantic, Northeast",7000
1952,United Kingdom,Atlantic halibut,"Atlantic, Northeast",6000
1953,United Kingdom,Atlantic halibut,"Atlantic, Northeast",4900
1954,United Kingdom,Atlantic halibut,"Atlantic, Northeast",4300
1955,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3800
1956,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3500
1957,United Kingdom,Atlantic halibut,"Atlantic, Northeast",4400
1958,United Kingdom,Atlantic halibut,"Atlantic, Northeast",4800
1959,United Kingdom,Atlantic halibut,"Atlantic, Northeast",4900
1960,United Kingdom,Atlantic halibut,"Atlantic, Northeast",5000
1961,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3900
1962,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3500
1963,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3200
1964,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3000
1965,United Kingdom,Atlantic halibut,"Atlantic, Northeast",3000
1966,United Kingdom,Atlantic halibut,"Atlantic, Northeast",2600
1967,United Kingdom,Atlantic halibut,"Atlantic, Northeast",2300
1968,United Kingdom,Atlantic halibut,"Atlantic, Northeast",2000
1969,United Kingdom,Atlantic halibut,"Atlantic, Northeast",1700
1970,United Kingdom,Atlantic halibut,"Atlantic, Northeast",1500
1971,United Kingdom,Atlantic halibut,"Atlantic, Northeast",1800
1972,United Kingdom,Atlantic halibut,"Atlantic, Northeast",1300
1973,United Kingdom,Atlantic halibut,"Atlantic, Northeast",1200
1974,United Kingdom,Atlantic halibut,"Atlantic, Northeast",921
1975,United Kingdom,Atlantic halibut,"Atlantic, Northeast",900
1976,United Kingdom,Atlantic halibut,"Atlantic, Northeast",757
1977,United Kingdom,Atlantic halibut,"Atlantic, Northeast",412
1978,United Kingdom,Atlantic halibut,"Atlantic, Northeast",309
1979,United Kingdom,Atlantic halibut,"Atlantic, Northeast",296
1980,United Kingdom,Atlantic halibut,"Atlantic, Northeast",192
1981,United Kingdom,Atlantic halibut,"Atlantic, Northeast",116
1982,United Kingdom,Atlantic halibut,"Atlantic, Northeast",156
1983,United Kingdom,Atlantic halibut,"Atlantic, Northeast",156
1984,United Kingdom,Atlantic halibut,"Atlantic, Northeast",131
1985,United Kingdom,Atlantic halibut,"Atlantic, Northeast",123
1986,United Kingdom,Atlantic halibut,"Atlantic, Northeast",107
1987,United Kingdom,Atlantic halibut,"Atlantic, Northeast",142
1988,United Kingdom,Atlantic halibut,"Atlantic, Northeast",138
1989,United Kingdom,Atlantic halibut,"Atlantic, Northeast",129
1990,United Kingdom,Atlantic halibut,"Atlantic, Northeast",131
1991,United Kingdom,Atlantic halibut,"Atlantic, Northeast",197
1992,United Kingdom,Atlantic halibut,"Atlantic, Northeast",216
1993,United Kingdom,Atlantic halibut,"Atlantic, Northeast",169
1994,United Kingdom,Atlantic halibut,"Atlantic, Northeast",186
1995,United Kingdom,Atlantic halibut,"Atlantic, Northeast",405
1996,United Kingdom,Atlantic halibut,"Atlantic, Northeast",392
1997,United Kingdom,Atlantic halibut,"Atlantic, Northeast",367
1998,United Kingdom,Atlantic halibut,"Atlantic, Northeast",201
1999,United Kingdom,Atlantic halibut,"Atlantic, Northeast",254
2000,United Kingdom,Atlantic halibut,"Atlantic, Northeast",208
2001,United Kingdom,Atlantic halibut,"Atlantic, Northeast",159
2002,United Kingdom,Atlantic halibut,"Atlantic, Northeast",222
2003,United Kingdom,Atlantic halibut,"Atlantic, Northeast",296
2004,United Kingdom,Atlantic halibut,"Atlantic, Northeast",251
2005,United Kingdom,Atlantic halibut,"Atlantic, Northeast",290
2006,United Kingdom,Atlantic halibut,"Atlantic, Northeast",228
2007,United Kingdom,Atlantic halibut,"Atlantic, Northeast",269
2008,United Kingdom,Atlantic halibut,"Atlantic, Northeast",324
2009,United Kingdom,Atlantic halibut,"Atlantic, Northeast",264
2010,United Kingdom,Atlantic halibut,"Atlantic, Northeast",189
2011,United Kingdom,Atlantic halibut,"Atlantic, Northeast",107
2012,United Kingdom,Atlantic halibut,"Atlantic, Northeast",71
2013,United Kingdom,Atlantic halibut,"Atlantic, Northeast",48
2014,United Kingdom,Atlantic halibut,"Atlantic, Northeast",36
2015,United Kingdom,Atlantic halibut,"Atlantic, Northeast",55
2016,United Kingdom,Atlantic halibut,"Atlantic, Northeast",131
2017,United Kingdom,Atlantic halibut,"Atlantic, Northeast",205
2018,United Kingdom,Atlantic halibut,"Atlantic, Northeast",247
2019,United Kingdom,Atlantic halibut,"Atlantic, Northeast",250
1950,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1500
1951,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1600
1952,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1700
1953,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1500
1954,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1700
1955,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1800
1956,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1400
1957,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1700
1958,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1800
1959,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1600
1960,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1600
1961,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1500
1962,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2500
1963,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1900
1964,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2600
1965,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1800
1966,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1800
1967,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2400
1968,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1600
1969,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2000
1970,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1856
1971,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1784
1972,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2087
1973,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2299
1974,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1826
1975,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1779
1976,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1123
1977,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1242
1978,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1118
1979,United Kingdom,Atlantic salmon,"Atlantic, Northeast",734
1980,United Kingdom,Atlantic salmon,"Atlantic, Northeast",892
1981,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1114
1982,United Kingdom,Atlantic salmon,"Atlantic, Northeast",597
1983,United Kingdom,Atlantic salmon,"Atlantic, Northeast",1045
1984,United Kingdom,Atlantic salmon,"Atlantic, Northeast",831
1985,United Kingdom,Atlantic salmon,"Atlantic, Northeast",729
1986,United Kingdom,Atlantic salmon,"Atlantic, Northeast",112
1987,United Kingdom,Atlantic salmon,"Atlantic, Northeast",56
1988,United Kingdom,Atlantic salmon,"Atlantic, Northeast",114
1989,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1990,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1991,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1992,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1993,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1994,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1995,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1996,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1997,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1998,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1999,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2000,United Kingdom,Atlantic salmon,"Atlantic, Northeast",33
2001,United Kingdom,Atlantic salmon,"Atlantic, Northeast",37
2002,United Kingdom,Atlantic salmon,"Atlantic, Northeast",31
2003,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2
2004,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2
2005,United Kingdom,Atlantic salmon,"Atlantic, Northeast",2
2006,United Kingdom,Atlantic salmon,"Atlantic, Northeast",7
2007,United Kingdom,Atlantic salmon,"Atlantic, Northeast",8
2008,United Kingdom,Atlantic salmon,"Atlantic, Northeast",5
2009,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2010,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2011,United Kingdom,Atlantic salmon,"Atlantic, Northeast",8
2012,United Kingdom,Atlantic salmon,"Atlantic, Northeast",5
2013,United Kingdom,Atlantic salmon,"Atlantic, Northeast",4
2014,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2015,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2016,United Kingdom,Atlantic salmon,"Atlantic, Northeast",4
2017,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2018,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
2019,United Kingdom,Atlantic salmon,"Atlantic, Northeast",0
1950,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",575
1951,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",799
1952,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",256
1953,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",882
1954,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",648
1955,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",406
1956,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",208
1957,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",454
1958,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1123
1959,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1278
1960,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",637
1961,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1074
1962,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",3209
1963,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",4541
1964,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",2907
1965,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",2093
1966,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1119
1967,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1940
1968,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",807
1969,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1226
1970,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",2900
1971,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",2300
1972,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",2000
1973,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1400
1974,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1089
1975,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",2217
1976,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1838
1977,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1809
1978,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1539
1979,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1202
1980,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1344
1981,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1215
1982,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",523
1983,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1211
1984,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1137
1985,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1157
1986,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",165
1987,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",973
1988,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",775
1989,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1119
1990,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1042
1991,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",736
1992,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",913
1993,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",981
1994,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1019
1995,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",869
1996,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",894
1997,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1006
1998,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1035
1999,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1024
2000,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1083
2001,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1209
2002,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",1176
2003,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",912
2004,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",457
2005,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",474
2006,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",227
2007,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",210
2008,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",289
2009,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",426
2010,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",578
2011,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",530
2012,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",511
2013,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",351
2014,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",517
2015,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",735
2016,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",826
2017,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",791
2018,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",852
2019,United States of America,Atlantic bluefin tuna,"Atlantic, Northwest",968
1950,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1951,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1952,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1953,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1954,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1955,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1956,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1957,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1958,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1959,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1960,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1961,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1962,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1963,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1964,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",15
1965,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",27
1966,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",6
1967,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1968,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1969,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1970,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1971,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",100
1972,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1973,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1974,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1975,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1976,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1977,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1978,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1979,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1980,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",43
1981,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",74
1982,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1983,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1984,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",0
1985,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",100
1986,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",124
1987,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",196
1988,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",146
1989,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",86
1990,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",125
1991,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",79
1992,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",62
1993,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",64
1994,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",45
1995,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",27
1996,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",24
1997,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",18
1998,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",17
1999,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",40
2000,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",41
2001,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",19
2002,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",33
2003,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",40
2004,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",68
2005,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",44
2006,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",19
2007,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",37
2008,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",34
2009,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",32
2010,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",38
2011,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",29
2012,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",53
2013,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",34
2014,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",45
2015,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",20
2016,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",16
2017,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",30
2018,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",37
2019,United States of America,Atlantic bluefin tuna,"Atlantic, Western Central",4
1950,United States of America,Atlantic cod,"Atlantic, Northwest",26077
1951,United States of America,Atlantic cod,"Atlantic, Northwest",22690
1952,United States of America,Atlantic cod,"Atlantic, Northwest",19816
1953,United States of America,Atlantic cod,"Atlantic, Northwest",14815
1954,United States of America,Atlantic cod,"Atlantic, Northwest",16703
1955,United States of America,Atlantic cod,"Atlantic, Northwest",16140
1956,United States of America,Atlantic cod,"Atlantic, Northwest",15934
1957,United States of America,Atlantic cod,"Atlantic, Northwest",15454
1958,United States of America,Atlantic cod,"Atlantic, Northwest",18762
1959,United States of America,Atlantic cod,"Atlantic, Northwest",21084
1960,United States of America,Atlantic cod,"Atlantic, Northwest",18317
1961,United States of America,Atlantic cod,"Atlantic, Northwest",21133
1962,United States of America,Atlantic cod,"Atlantic, Northwest",21278
1963,United States of America,Atlantic cod,"Atlantic, Northwest",19132
1964,United States of America,Atlantic cod,"Atlantic, Northwest",17576
1965,United States of America,Atlantic cod,"Atlantic, Northwest",16351
1966,United States of America,Atlantic cod,"Atlantic, Northwest",17044
1967,United States of America,Atlantic cod,"Atlantic, Northwest",20139
1968,United States of America,Atlantic cod,"Atlantic, Northwest",22324
1969,United States of America,Atlantic cod,"Atlantic, Northwest",26083
1970,United States of America,Atlantic cod,"Atlantic, Northwest",24100
1971,United States of America,Atlantic cod,"Atlantic, Northwest",24600
1972,United States of America,Atlantic cod,"Atlantic, Northwest",21100
1973,United States of America,Atlantic cod,"Atlantic, Northwest",22900
1974,United States of America,Atlantic cod,"Atlantic, Northwest",26606
1975,United States of America,Atlantic cod,"Atlantic, Northwest",25461
1976,United States of America,Atlantic cod,"Atlantic, Northwest",25415
1977,United States of America,Atlantic cod,"Atlantic, Northwest",34262
1978,United States of America,Atlantic cod,"Atlantic, Northwest",39249
1979,United States of America,Atlantic cod,"Atlantic, Northwest",44359
1980,United States of America,Atlantic cod,"Atlantic, Northwest",53635
1981,United States of America,Atlantic cod,"Atlantic, Northwest",45570
1982,United States of America,Atlantic cod,"Atlantic, Northwest",47373
